id,name,lon,lat,region,repayment,interest
E07000152,East Northamptonshire,-0.50919998,52.47909927,East Midlands,4500000,24551.91
E07000011,Huntingdonshire,-0.22466999,52.35319901,East of England,4500000,1590.14
E07000004,Aylesbury Vale,-0.87746,51.90039825,South East,4000000,46153.42
E07000126,South Ribble,-2.72872996,53.72669983,North West,4000000,13680
E07000119,Fylde,-2.91901994,53.79710007,North West,4000000,10306.85
E07000068,Brentwood,0.29009101,51.64110184,East of England,4000000,10299.47
E23000033,Sussex Police,0.22679,50.93383,South East,4000000,8872.33
E06000037,West Berkshire,-1.27364004,51.4455986,South East,4000000,3276.71
E31000011,Devon & Somerset Fire Authority,-3.66836,50.762081,South West,3500000,33856.99
W06000003,Conwy,-3.74645996,53.1473999,Wales,3500000,10900.14
E07000077,Uttlesford,0.294485,51.93590164,East of England,3500000,10177.81
E07000066,Basildon,0.47505501,51.5904007,East of England,3000000,110495.62
E07000008,Cambridge,0.126436,52.20019913,East of England,3000000,91011.79
E07000072,Epping Forest,0.154147,51.71279907,East of England,3000000,44071.23
E07000067,Braintree,0.57591099,51.91630173,East of England,3000000,13536.99
E06000021,Stoke-on-Trent,-2.15888,53.01710129,West Midlands,3000000,3328.77
W06000009,Pembrokeshire,-4.90818024,51.85509872,Wales,3000000,1549.59
E47000003,West Yorkshire Combined Authority,-1.71817,53.741199,Yorkshire and The Humber,3000000,1315.07
E23000016,West Mercia Police,-2.49609,52.488869,West Midlands,3000000,894.79
E08000004,Oldham,-2.0527401,53.55770111,North West,2500000,26676.71
E23000011,South Yorkshire Police,-1.38284,53.483109,Yorkshire and The Humber,2100000,535.07
E10000027,Somerset,-3.29605,51.071861,South West,2000000,67714.52
E07000194,Lichfield,-1.76048994,52.69620132,West Midlands,2000000,12484.93
E07000039,South Derbyshire,-1.53494,52.82490158,East Midlands,2000000,10509.59
E31000033,Staffordshire Fire Authority,-2.02756,52.909302,West Midlands,2000000,8573.15
E07000073,Harlow,0.103888,51.76610184,East of England,2000000,7209.86
E07000031,South Lakeland,-2.78108001,54.29909897,North West,2000000,5262.47
E07000188,Sedgemoor,-2.88250995,51.19179916,South West,2000000,2005.48
E07000142,West Lindsey,-0.50774002,53.40039825,East Midlands,2000000,1969.86
E07000122,Pendle,-2.18956995,53.88639832,North West,1000000,23669.87
E10000031,Warwickshire,-1.56874,52.179771,West Midlands,1000000,18709.32
E07000120,Hyndburn,-2.38964009,53.75650024,North West,1000000,14989.31
E06000017,Rutland,-0.62629998,52.66759872,East Midlands,1000000,2523.84
E08000021,Newcastle upon Tyne,-1.65296996,55.02099991,North East,1000000,1745.21
E07000156,Wellingborough,-0.71425003,52.29259872,East Midlands,1000000,1212.33
E23000002,Cumbria Police,-2.90218,54.63826,North West,1000000,0
E06000052,Cornwall,-4.64248991,50.45019913,South West,0,421150.68
E10000016,Kent,0.721553,51.192902,South East,0,176095.88
E06000043,Brighton & Hove,-0.15079001,50.8465004,South East,0,59835.62
E47000009,West of England Combined Authority,-2.48467,51.459431,South West,0,58638.9
E08000036,Wakefield,-1.42092001,53.65919876,Yorkshire and The Humber,0,53206.85
E06000030,Swindon,-1.73367,51.57759857,South West,0,34768.49
E07000121,Lancaster,-2.66030002,54.07899857,North West,0,32767.03
E06000051,Shropshire,-2.73667002,52.62210083,West Midlands,0,32525.7
E07000069,Castle Point,0.58808398,51.56159973,East of England,0,31545.41
E07000091,New Forest,-1.58936,50.85749817,South East,0,31264.11
E07000199,Tamworth,-1.68450999,52.62030029,West Midlands,0,27000
E06000054,Wiltshire,-1.92660999,51.3288002,South West,0,24816.44
E06000015,Derby,-1.47188997,52.91460037,East Midlands,0,24805.48
E06000055,Bedford,-0.45462999,52.19630051,East of England,0,16592.05
E23000030,Hampshire Police,-1.34513,51.11845,South East,0,16109.59
W06000023,Powys,-3.43532991,52.34859848,Wales,0,15315.06
E07000143,Breckland,0.81871599,52.59420013,East of England,0,15108.49
E31000017,Hampshire Fire Authority,-1.34513,51.11845,South East,0,13463.01
E07000030,Eden,-2.62678003,54.6310997,North West,0,13263.56
E31000004,Buckinghamshire & Milton Keynes Fire Authority,-0.80348,51.853081,South East,0,10570.96
E07000222,Warwick,-1.58369005,52.30139923,West Midlands,0,10395.62
W06000020,Torfaen,-3.05100989,51.69839859,Wales,0,9641.1
E06000025,South Gloucestershire,-2.46921992,51.54669952,South West,0,4736.99
